algorithm,alpha,client,auc,accuracy,sensitivity,specificity
FedProx,1.0,4,0.7403408889537251,0.6808562246073616,0.5432603534687418,0.7979571220114491
SCAFFOLD,1.0,0,0.6557551753020568,0.4621914983930629,0.9982854128198364,0.005949040296329555
SCAFFOLD,1.0,1,0.6555285291928095,0.462373415802559,0.9982854128198364,0.006285778426310473
SCAFFOLD,1.0,2,0.657790830282887,0.4613425504820811,0.9992086520706938,0.0035918733864631273
SCAFFOLD,1.0,3,0.6557893805886708,0.4621914983930629,0.9982854128198364,0.005949040296329555
SCAFFOLD,1.0,4,0.6576833586195353,0.46128191134558244,0.9990767607491428,0.0035918733864631273
FedNova,1.0,0,0.7456329597611703,0.690740403856649,0.616064362964917,0.7542934111572567
FedNova,1.0,1,0.7454984702886559,0.690740403856649,0.6176470588235294,0.752946458637333
FedNova,1.0,2,0.746432183566901,0.691953186586623,0.61012925349512,0.7615894039735099
FedNova,1.0,3,0.7456560544363997,0.6906797647201504,0.6158005803218148,0.7544056572005837
FedNova,1.0,4,0.7464068238369854,0.691771269177127,0.61012925349512,0.761252665843529
FedAvg,5.0,0,0.7518122732151007,0.6952883390940513,0.5867844895805856,0.7876304860253676
FedAvg,5.0,1,0.7516926324344165,0.6955915347765448,0.5877077288314428,0.7874059939387137
FedAvg,5.0,2,0.7524038448015322,0.6942574737735735,0.5799261408599314,0.7915590975418116
FedAvg,5.0,3,0.7518264483122367,0.6952883390940513,0.5866525982590346,0.7877427320686946
FedAvg,5.0,4,0.7523928748307982,0.6942574737735735,0.5803218148245846,0.7912223594118307
FedProx,5.0,0,0.7538156474655859,0.697531987144503,0.5987865998417304,0.781569199685711
FedProx,5.0,1,0.7536986492487021,0.6977139045539992,0.5989184911632814,0.781793691772365
FedProx,5.0,2,0.7544835795230649,0.697350069735007,0.5937747296227909,0.7854978112021551
FedProx,5.0,3,0.75383293886345,0.6977139045539992,0.5989184911632814,0.781793691772365
FedProx,5.0,4,0.7544658365946912,0.6972894305985082,0.5940385122658929,0.7851610730721742
SCAFFOLD,5.0,0,0.6625804586655797,0.5875325935358681,0.7836982326562912,0.4205859243461668
SCAFFOLD,5.0,1,0.6622489242396647,0.5891698502213328,0.7794777103666579,0.4272084409024582
SCAFFOLD,5.0,2,0.6653474450286773,0.5750409314171366,0.8307834344500132,0.35739140195308117
SCAFFOLD,5.0,3,0.6626307413991802,0.5874113152628706,0.7843576892640465,0.419800202042878
SCAFFOLD,5.0,4,0.6652058050894091,0.5757079619186223,0.8277499340543393,0.3612077674261982
FedNova,5.0,0,0.7543324278345436,0.6998969134679522,0.6045898179899762,0.7810079694690762
FedNova,5.0,1,0.7542149632828713,0.6995330786489601,0.6048536006330784,0.7801100011224604
FedNova,5.0,2,0.754904028448613,0.6994118003759626,0.5989184911632814,0.7849365809855202
FedNova,5.0,3,0.7543507185212397,0.6997756351949548,0.6043260353468741,0.7810079694690762
FedNova,5.0,4,0.754897692217204,0.6994724395124613,0.5991822738063836,0.7848243349421933
Central,,0,0.7365256486058115,0.6856467163907586,0.6238459509364284,0.7382422269614997
Central,,1,0.7363031624989611,0.6848584076162756,0.6270113426536534,0.7340891233584016
Central,,2,0.7376984435876582,0.6867988599842338,0.6032709047744659,0.7578852845437198
Central,,3,0.7365632366701754,0.6854647989812626,0.6233183856502242,0.7383544730048266
Central,,4,0.7376691607238097,0.6867382208477352,0.6040622527037721,0.7570995622404311
